key,summary
GENSIX-71341,[VR] Sometime focus is not getting displayed in VR screen
GENSIX-71339,[VR] Clicking on VR Icon (S/K) VR screen is not getting displayed
GENSIX-71338,[Settings]: Focus is not appearing in the Split Screen option on performing CCP right.
GENSIX-71337,[Settings]: Dual Focus is observed in camera settings screen Screen.
GENSIX-71336,"[Carplay] After disconnecting the Carplay, ""Feature unavailable during call...""popup is getting displayed on tapping on the Memory, Reset SK"
GENSIX-71335,[Popup] Improper behaviour is observed on pressing custom h/k on VR screen.
GENSIX-71334,[AssistantWindow]: Dual Focus is observed in Quiet Mode Screen.
GENSIX-71326,[VoiceMemo] Able to record and play the recordings simultanously in voice memo screen.
GENSIX-71325,[CCS] Inconsistent behaviour is happening in CCS search Keypad screen
GENSIX-71314,[Settings]: Focus getting disappeared on the incoming BT call popup.
GENSIX-71293,[Keypad] Alignment issue is observed in Settings Keypad screen.
GENSIX-71292,[Settings]: Improper behavior is observed on scrolling the page in Display settings screen.
GENSIX-71290,"[Setup]:""Time setting screen is exiting on accepting BT call."""
GENSIX-71289,[Setting]:Incoming Call Popup is not getting Displayed On Camera Setting Screen.
GENSIX-71287,[Settings]: Alignment line issue is observed on Navigation Settings screen.
GENSIX-71286,[Settings]: Focus is not appearing at the Default option after closing the option Menu.
GENSIX-71284,[Setting]:Screen is Exiting to Setup List Screen On Display OFF State When Call is an Hold State.
GENSIX-71280,[Quiet Mode] : Menu options are not getting scrolled after pressing the CCP DOWN HK
GENSIX-71266,[Keypad] Scroll Bar is not Displayed in Navigation Search Keypad On Tapping Keypad Slide Right Button.
GENSIX-71262,[Voice Memo]: On voice memo recording state screen is entering into phone projection screen.
GENSIX-71261,[Setup] Options are not present in the Display settings as per the spec
GENSIX-71253,[CCS] Option Menu is not Closing on Tapping Status Bar in Connected Services Settings Screen.
GENSIX-71246,[Radio] Inconsistent behaviour is observed on saving the preset in radio screen.
GENSIX-71205,[Map] Very small Font size is getting displayed in map search screen
GENSIX-71199,"[Bluetooth] ""Cannot input anymore"" popup is closing on bluetooth system info keypad screen."
GENSIX-71197,[DMB] : Empty Screen is geting Displayed in DMB on Performing Long Press Menu
GENSIX-71194,[Qibla] Default focus is disappearing in qibla screen after pressing the custom HK set to:Qibla
GENSIX-71193,[Media] :Dual focus is observed in Media gate screen.
GENSIX-71192,[Settings]: String Value is Displayed in Driver assistance Screen.
GENSIX-71191,"[USB Video] : ""File Information"" Popup is getting displayed for some seconds in Quiet Mode Screen"
GENSIX-71190,[SXM] Numbers are Not getting deleted Upon long Pressing Delete S/K.
GENSIX-71187,[QuietMode] Dual focus is observed on option menu after rotating the CCP wheel
GENSIX-71186,"[USB]:""System is entering in sound setting during BT Incoming Call popup."""
GENSIX-71176,[Sound of nature]Focus is displayed out of the scroll bar
GENSIX-71175,"[USB]:""Inconsistent behavior is getting observed in sound of nature and USB music during BT active call."""
GENSIX-71173,[Bluetooth] Split screen is not getting changed on Display off-on when the focus is changed in option menu in Bluetooth screen.
GENSIX-71172,"[USB]:""USB video full Screen is getting hanged on performing call ending operation."""
GENSIX-71171,[VR] First time dual focus is observed in Map VR screen
GENSIX-71168,[Keypad] Focus is not Proper in Bluetooth Settings Keypad On Long Press.
GENSIX-71167,[Popup]: Popup is getting closed on short press SWRC Mode button.
GENSIX-71164,[Keypad] Unable to focus on the textfield from countries option through S/K.
GENSIX-71163,[HD Radio] Focus is not Shifting to the Left side on performing CCP push dail[Right].
GENSIX-71161,[Split screen] Split screen is flickering on making Display off-on when the focus is changed on option menu.
GENSIX-71160,[Navigation]: Process of Searching Popup is not closing in navigation screen.
GENSIX-71159,[HD Radio] Fuel Prices Screen getting Freezed After performing CCP Push Dail[Left].
GENSIX-71158,[setup]Blank screen is displayed in the sound guidance settings screen
GENSIX-71157,[Voice memo] String value is displayed in Voice memo main screen for French language.
GENSIX-71156,[Settings]:String Value is displayed in the vehicle settings screen
GENSIX-71155,[VR] Search count is mismatch in VR Sound results screen
GENSIX-71154,[System] Improper screen transition is observed after performing the Rear camera On-> Off
GENSIX-71153,[User Profile] : System is switching to Safety Warning Screen on Pressing Back S/K from Date/Time Settings
GENSIX-71152,"[Settings]:Flickering is observed in ""Connected services Settings"" Screen."
GENSIX-71149,[Menu] : Option is disappering in second depth option menu on making display off /on.
GENSIX-71147,[keypad] Characters are over-writing from the highlighted area.
GENSIX-71146,"[Navigation]:""Cannot input anymore"" Popup is disappearing upon RVC on and off."
GENSIX-71145,[Bluetooth]:Able to Check and Uncheck Message Notification When Call is an Hold State.
GENSIX-71143,[QIBLA] : Menu options are not getting scrolled after pressing the CCP UP HK
GENSIX-71142,[Bluetooth]:Screen is transiting to Setup List Screen On Performing Display OFF/ON On Device Connection Setting Screen.
